T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS
2013.05.14_23:24:00_TAI,2739,7771.047,29.212,6.644414e+23,4.020029e+22,-0.00749438,482.496,22028360000000,-0.01982698,36.795,53858240000000,2453.824,42.64,101.384,0.23388234,1810.561035,4.401,98.758,48.194,11745
2013.05.14_23:36:00_TAI,2739,7810.687,29.1,6.629865e+23,4.00537e+22,-0.00752875,481.2,20817570000000,-0.01981691,36.769,53373240000000,2449.677,42.574,101.076,0.2537314,1818.955688,4.291,98.503,48.291,11745
2013.07.08_08:36:00_TAI,2920,9858.488,43.314,9.724989e+23,4.554428e+22,-0.00097566,72.47,6192719000000,-0.00238333,43.895,87706130000000,4408.524,53.095,111.736,0.13261522,2939.502197,4.771,108.267,67.369,"11785,11787,11788"
2013.07.08_08:48:00_TAI,2920,9799.633,43.163,9.731089e+23,4.550646e+22,-0.0009313,69.632,7188343000000,-0.00230224,43.965,87416110000000,4354.096,53.258,110.907,0.17674871,2946.287598,4.786,107.667,67.255,"11785,11787,11788"
2013.07.08_09:00:00_TAI,2920,9741.146,43.294,9.727215e+23,4.550985e+22,-0.00096192,72.326,7464579000000,-0.00240514,43.852,87509300000000,4329.191,53.207,110.35,0.18251938,2940.174316,4.832,107.369,67.503,"11785,11787,11788"
2013.07.08_09:12:00_TAI,2920,9751.62,43.597,9.758783e+23,4.535992e+22,-0.00016136,12.159,6524215000000,-0.0004064,44.153,87081550000000,4286.945,53.395,110.157,0.15918235,2942.490479,4.797,106.995,67.305,"11785,11787,11788"
2013.07.08_09:24:00_TAI,2920,9720.023,43.316,9.779833e+23,4.553935e+22,-0.0003834,29.045,4830613000000,-0.00097114,44.044,87814070000000,4305.692,53.377,110.054,0.11722699,2939.51123,4.794,107.348,67.8,"11785,11787,11788"
2013.07.08_09:36:00_TAI,2920,9594.915,43.299,9.74022e+23,4.5667e+22,-0.00013255,10.132,6612914000000,-0.00033973,44.036,87623840000000,4276.509,53.355,109.367,0.15905927,2937.10498,4.754,106.718,67.396,"11785,11787,11788"
2013.07.08_09:48:00_TAI,2920,9561.781,43.487,9.709125e+23,4.54561e+22,-0.00031246,23.89,8198030000000,-0.000806,44.13,87512960000000,4241.396,53.467,109.074,0.19713637,2929.243652,4.759,106.871,67.838,"11785,11787,11788"
2013.07.08_10:00:00_TAI,2920,9506.438,43.609,9.691814e+23,4.547626e+22,-0.00038146,29.282,8010409000000,-0.00099147,44.17,87083320000000,4216.018,53.43,108.855,0.19185404,2943.071533,4.764,106.624,67.474,"11785,11787,11788"
2013.07.08_10:12:00_TAI,2920,9526.439,43.548,9.663875e+23,4.521711e+22,-0.00032406,24.753,5867530000000,-0.00084514,44.199,86778160000000,4198.405,53.438,108.396,0.14123541,2938.431152,4.784,106.424,67.472,"11785,11787,11788"
2013.11.21_16:00:00_TAI,3366,1287.387,1.692,1.043793e+23,4.012859e+22,0.0022197,135.504,8253061000000,0.00772983,17.416,28255840000000,1380.888,21.924,73.536,-0.14180258,425.634155,3.177,72.952,25.71,"11895,11897"
2013.11.21_16:12:00_TAI,3366,1289.316,1.768,1.052463e+23,4.024532e+22,0.00274687,168.833,9359082000000,0.00963738,17.562,28812430000000,1404.375,21.759,72.027,-0.16023844,405.893036,3.336,71.537,24.269,"11895,11897"
2013.11.21_16:24:00_TAI,3366,1286.144,1.748,1.042682e+23,4.007575e+22,0.00149811,91.452,5219480000000,0.00521371,17.332,27910660000000,1382.875,21.917,75.316,-0.0484266,421.582489,3.33,74.759,25.919,"11895,11897"
2013.11.21_16:36:00_TAI,3366,1263.13,1.857,1.038083e+23,4.029408e+22,0.00129382,80.063,4193289000000,0.00456544,17.281,28364840000000,1388.086,22.097,75.23,-0.05134042,414.64978,3.362,74.481,26.255,"11895,11897"
2013.11.21_16:00:00_TAI,3376,19292.24,40.576,1.416223e+24,4.087448e+22,-0.00913871,505.106,9648657000000,-0.01284668,42.389,53708150000000,3417.424,48.529,99.539,-0.11029996,1978.549927,4.352,95.452,51.857,"11899,11904"
2013.11.21_16:12:00_TAI,3376,19097.1,40.495,1.419576e+24,4.096599e+22,-0.00839047,469.632,5820760000000,-0.01201819,42.435,54419830000000,3364.238,48.509,96.346,-0.03909833,1958.483276,4.303,92.837,50.608,"11899,11904"
2013.11.21_16:24:00_TAI,3376,19389.91,40.668,1.418655e+24,4.092306e+22,-0.00952316,524.631,11120820000000,-0.01336098,42.31,53116770000000,3269.064,48.442,99.638,-0.03112585,1958.193726,4.403,95.072,50.996,"11899,11904"
2013.11.21_16:36:00_TAI,3376,19346.24,41.379,1.426534e+24,4.079349e+22,-0.0098777,548.44,12486520000000,-0.01406395,42.859,54003100000000,3313.731,48.865,99.601,-0.11305571,1959.483887,4.413,95.098,51.097,"11899,11904"
2013.11.21_16:48:00_TAI,3376,19058.39,40.835,1.426012e+24,4.111024e+22,-0.00918907,517.694,10609720000000,-0.01329252,42.662,54494620000000,3204.957,48.504,98.268,0.0248939,1961.742798,4.396,93.983,50.48,"11899,11904"
2013.11.21_17:00:00_TAI,3376,18801.72,40.802,1.433599e+24,4.141852e+22,-0.00872739,501.066,8511211000000,-0.01293136,42.641,56152980000000,3388.456,48.254,99.666,0.02257099,1964.258545,4.393,94.997,49.978,"11899,11904"
2013.11.21_17:12:00_TAI,3376,18278.94,40.568,1.434448e+24,4.197179e+22,-0.00839205,495.869,9810621000000,-0.01272406,42.671,56971710000000,3348.84,48.262,98.309,0.00263462,1953.654053,4.399,93.471,49.182,"11899,11904"
2013.11.21_17:24:00_TAI,3376,18084.94,40.383,1.437573e+24,4.209021e+22,-0.00799071,478.268,8393949000000,-0.01233698,42.634,57242750000000,3288.041,48.2,98.178,0.01970378,1951.566772,4.355,93.541,48.957,"11899,11904"
2013.11.21_17:36:00_TAI,3376,17566.4,40.253,1.433821e+24,4.262835e+22,-0.00770408,473.485,10154450000000,-0.01209637,42.582,57035810000000,3121.198,48.175,96.749,0.07177361,1940.439697,4.426,92.532,48.624,"11899,11904"
2013.12.18_23:36:00_TAI,3473,4482.619,15.108,3.911674e+23,4.587195e+22,0.00283428,186.223,5162057000000,0.00721756,27.18,41211790000000,2189.242,32.911,85.598,-0.15430075,1036.34314,4.19,77.765,35.418,"11917,11918"
2013.12.18_23:48:00_TAI,3473,4572.916,14.896,3.96484e+23,4.566411e+22,0.00307574,200.797,6599064000000,0.00781199,27.114,40677410000000,2186.585,33.106,85.527,-0.09939004,1044.360229,4.432,77.499,35.475,"11917,11918"
2013.12.19_00:00:00_TAI,3473,4415.458,14.268,3.830078e+23,4.582921e+22,0.00299082,195.333,4572621000000,0.00757484,26.506,40433800000000,2192.546,32.62,83.465,-0.08815864,1028.420654,4.465,76.606,35.448,"11917,11918"
2013.12.19_00:12:00_TAI,3473,4534.176,14.951,3.934624e+23,4.557573e+22,0.00268916,175.71,4694255000000,0.00686922,26.944,41165330000000,2208.062,32.801,86.05,-0.09104401,1028.688477,4.415,77.664,35.505,"11917,11918"
2013.12.19_00:24:00_TAI,3473,4442.605,14.883,3.894751e+23,4.575093e+22,0.00286738,189.278,4723545000000,0.00739125,27.265,41463020000000,2213.434,32.816,86.347,-0.1397697,1002.988098,4.38,77.745,35.236,"11917,11918"
2013.12.19_00:36:00_TAI,3473,4348.744,14.606,3.794676e+23,4.551596e+22,0.0030772,202.181,7391495000000,0.00792838,26.947,40433640000000,2175.245,32.587,84.302,-0.12679705,978.489929,4.546,76.299,34.696,"11917,11918"
2013.12.19_00:48:00_TAI,3473,4416.884,14.823,3.813074e+23,4.510462e+22,0.00327311,212.756,8989670000000,0.00843732,26.871,40768140000000,2186.368,32.691,84.987,-0.13519004,965.044434,4.538,76.678,34.943,"11917,11918"
2013.12.19_01:00:00_TAI,3473,4409.847,14.072,3.770162e+23,4.491636e+22,0.00357768,230.306,10048060000000,0.00918464,26.613,40122330000000,2160.819,32.341,84.01,-0.10946695,958.708984,4.4,76.398,34.768,"11917,11918"
2013.12.19_01:12:00_TAI,3473,4486.768,14.738,3.846829e+23,4.480801e+22,0.00301717,194.773,8280834000000,0.00778769,26.866,40441740000000,2162.644,32.709,85.219,-0.15641956,964.785095,4.413,76.577,34.857,"11917,11918"
2014.05.04_14:48:00_TAI,4071,8639.071,27.786,6.181348e+23,4.007906e+22,-0.01470575,792.287,31137810000000,-0.02980932,34.923,48513710000000,2887.35,41.525,100.767,-0.18491957,1297.351685,4.648,94.648,50.976,"12047,12051"
2014.11.11_06:00:00_TAI,4800,3484.197,12.746,2.848392e+23,4.004017e+22,0.00226035,139.136,3034179000000,0.00690002,27.415,46663760000000,2219.419,32.993,95.509,-0.00044907,1207.938232,4.227,91.768,41.136,"12207,12208"
2014.11.11_06:12:00_TAI,4800,3472.649,13.044,2.876906e+23,4.02345e+22,0.00197751,123.359,2128562000000,0.0061163,27.639,47334640000000,2228.903,33.188,95.063,-0.00602377,1194.57959,4.199,91.456,41.01,"12207,12208"
2014.11.11_06:24:00_TAI,4800,3457.843,13.34,2.902021e+23,4.050183e+22,0.00210521,133.037,1555517000000,0.006571,27.848,47902690000000,2241.747,33.339,94.914,0.01200663,1198.369873,4.214,91.522,41.126,"12207,12208"
2014.11.11_06:36:00_TAI,4800,3437.938,13.399,2.915221e+23,4.070347e+22,0.00213103,136.06,2512150000000,0.00669628,27.949,48734570000000,2260.014,33.452,94.496,-0.01213535,1204.132935,4.225,91.209,41.157,"12207,12208"
2014.11.11_06:48:00_TAI,4800,3496.67,13.416,2.972918e+23,4.081056e+22,0.00232871,149.081,2978418000000,0.00730256,28.072,49545080000000,2306.344,33.544,94.636,0.00373205,1208.038818,4.195,91.388,41.547,"12207,12208"
2014.11.11_07:00:00_TAI,4800,3532.647,13.531,3.005851e+23,4.094752e+22,0.00232655,149.057,3024182000000,0.00725206,28.344,50018130000000,2317.88,33.598,94.931,-0.02739592,1199.290039,4.227,91.582,41.769,"12207,12208"
2014.11.11_07:12:00_TAI,4800,3538.991,13.733,3.023046e+23,4.113331e+22,0.00213693,137.447,1921779000000,0.00663711,28.538,50792200000000,2328.701,33.782,96.029,0.01539396,1222.337891,4.25,92.342,42.021,"12207,12208"
2015.02.01_05:00:00_TAI,5127,5956.504,23.289,5.885967e+23,4.801844e+22,-0.00043015,32.005,3657360000000,-0.00116777,33.452,70341100000000,3427.227,40.061,111.252,0.09235674,2273.071289,4.577,108.582,53.912,12277
2015.02.01_05:12:00_TAI,5127,5931.326,23.009,5.907875e+23,4.817782e+22,6.319e-05,4.739,7221131000000,0.00017252,33.414,72006420000000,3474.26,40.103,111.556,0.01563153,2271.228516,4.542,109.087,54.226,12277
2015.02.01_05:24:00_TAI,5127,6030.062,23.692,5.948323e+23,4.778004e+22,-3.529e-05,2.622,6819296000000,-9.585e-05,33.657,71814290000000,3484.13,40.357,111.842,0.05060272,2270.977295,4.528,109.145,54.572,12277
2015.02.01_05:36:00_TAI,5127,5975.688,24.067,5.95714e+23,4.801163e+22,5.667e-05,4.254,7450315000000,0.00015476,33.871,74060620000000,3559.662,40.554,112.015,0.05925164,2278.230469,4.616,109.138,54.638,12277
