T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_17:00:00_TAI,856,5629.683,16.735,5.716134e+23,5.462495e+22,0.0053988,412.765,17664360000000,0.01296091,29.94,62830600000000,3303.321,35.033,102.669,-0.05229211,1848.330811,4.667,97.409,45.428,11295,M
2011.09.22_17:00:00_TAI,856,5629.683,16.735,5.716134e+23,5.462495e+22,0.0053988,412.765,17664360000000,0.01296091,29.94,62830600000000,3303.321,35.033,102.669,-0.05229211,1848.330811,4.667,97.409,45.428,11295,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,X
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,X
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
2011.09.22_15:24:00_TAI,892,15898.81,38.473,1.2176e+24,4.680664e+22,-0.00546341,315.053,17663630000000,-0.00868945,41.568,48232560000000,3482.589,46.22,85.383,-0.23374785,1810.498413,4.49,64.817,39.678,11302,M
